doi,sentence
10/1038_s41467_019_09170_5_nasicontype_airstable_and_allclimate_cathode,"Nevertheless, we are still putting much effort into working towards better full cell performance using commercial hard carbon as anode with an optimised electrolyte system, more suitable loading ratio, etc. to be used in our future work."
10/20517_energymater_2024_06_recent_advances_in_alloying_anode,Another multiphasic graphene encapsulated Sn 4 P 3 and SnP 0.94 hybrid showing high aptitude for SIB anodes has been reported to offer long cyclic stability and capacity .
10/1039_d0ta09553b_probing_the_charged_state_of,The authors also found that during a P to O transformation each individual sodium ion is swept into a distorted co-ordination environment by the moving transition metal layers.
10/1039_d0ra03212c_peatderived_hard_carbon_electrodes_with,"This suggests the formation of smaller particles in the pre-pyrolysis step that are more thoroughly graphitized, have less amorphous fraction and are therefore less efficient in sodium storage."
10/1038_s41524_024_01258_x_combined_study_of_phase_transitions,"Particularly important in the context of this work, is the formulation of sodium intercalation dynamics."
10/1039_c4ta06467d_recent_developments_in_electrode_materials,"Although this may still not high enough for practical application, this initial efficiency is among the highest of all the sodium anode materials reported to date."
10/3389_fenrg_2016_00013_improving_nasicon_sinterability_through_crystallization,Sodium superionic conducting (NASICON) ceramics are a family of sodium-or lithium-based solids that have been investigated as potential solid-state electrolytes since the 1970s.
10/1039_d5ra02547h_influence_of_phosphorus_activation_and,This is evaluated as a negative electrode in a sodium-ion battery (SIB) with a primary purpose of evaluating the effect of carbonization temperature on HC properties.
10/1021_jacs_3c00117_realizing_high_capacity_and_zero,"The excellent air/water stability of NMLMO originates from the enhanced oxygen redox reactivity and the reduced interlayer spacing by the Li dual-site substitution. 57 In summary, to counter the capacity-stability trade-off dilemma, we have developed the Li dual-site substituted P2-Na0.7Li0.03[Mg0.15Li0.07Mn0.75]O2 as a high-capacity zerostrain cathode material for SIBs."
10/1039_d3ta05182j_proton_conductor_nasiconstructure_lisub1ixisubcdsubixi2subzrsub2ixi2subposub4subsub3sub_as,"However, the application of the interesting ionexchange method on NASICON electrolytes is limited and needs further exploration."
10/1039_d4mh01118j_hard_carbon_from_a_sugar,"This study focuses on developing a high-performance hard carbon anode material derived from hydroxymethylfurfural, produced from carbohydrates, using a straightforward thermal condensation method."
10/1016_j_nanoen_2017_08_051_yolkshell_structured_sbc_anodes_for,"Despite great advances in sodium-ion battery developments, the search for high energy and stable anode materials remains a challenge."
10/1007_s41918_024_00215_y_recent_progress_in_sodiumion_batteries,The operando synchrotron XRD results showed that the P2-type Na 2/3 (Mn 6/8 Ni 2/8 )O 2 cathode material that at the high voltage state experienced a two phase reaction.
10/20517_energymater_2024_06_recent_advances_in_alloying_anode,The biggest dilemma of high-volume expansions in alloying anode materials in SIB may have multifactorial origination.
10/1038_s41467_024_47522_y_consummating_ion_desolvation_in_hard,"The C 1s and Na 1s peaks of hard carbons cycled in ester electrolytes reach stabilization simultaneously after 12 min etching (Fig. 5e,f), suggesting that the S-SEI is completely removed."
10/3389_fenrg_2022_910842_layered_p2naxmn34ni14o2_cathode_materials_for,"In this work, we report a study on the synthesis, electrochemistry and ambient storage of Na x Mn 3/4 Ni 1/4 O 2 layered oxides as cathode materials in sodium-ion batteries."
10/1007_s40820_020_00587_y_from_micropores_to_ultramicropores_inside,Choi et al. obtained hard carbon fibers with a high plateau capacity by heating waste silk fabrics even at an ultrahigh temperature of 2000 °C.
10/3762_bjnano_11_106_gas_sorption_porosimetry_for_the,"After the introduction of the LIB, efforts in research and development on sodium-ion anodes, i.e., lithium-analogue materials, was the next logical step."
10/1038_s41467_024_47522_y_consummating_ion_desolvation_in_hard,"Therefore, we can use Na||hard carbon coin cell to analyze the difference in Na + storage behavior in two different electrolytes."
10/3389_fenrg_2023_1266653_effect_of_pulverisation_on_sulfide,"When compared to P1-CuS, P2-CuS has a bigger void in the crystal structure and offers a suitable channel for sodium-ion migration, which reflects promptly from the GCD analysis with a higher capacity."
10/1039_d2ta02451a_boosting_electrochemical_reaction_and_suppressing,"In traditional transition metal oxides (NaTMO 2 ), the redox reaction is occurred from the active TM sites, which provides the charge compensation for sodium storage."
10/1039_d4ta07393b_high_performing_and_sustainable_hard,"The preservation of these voids and channels could be advantageous for the electrochemical performance of the resulting HC, enhancing electrolyte penetration and sodium ion diffusion rates."
10/54097_9y8kjb55_research_progress_on_cathode_materials,"During discharge, sodium ions escape from the negative electrode material and enter the electrolyte."
10/1021_acsaem_0c01352_vacancyenhanced_oxygen_redox_reversibility_in,"XANES measurements were carried out at the Mn K-edge for Air-Na0.67Mg0.2Mn0.8O2 extracted at the end of charge and discharge, cycled over two different voltage windows as shown in Figure 7a."
10/1039_d0ee01363c_a_revised_mechanistic_model_for,"For example, large pores are beneficial for sodium storage, but only if there are enough accessible channels provided by defects and sufficiently wide interlayer spacings to allow sodium diffusion into the pores."
10/1007_s10853_022_08023_9_microstructural_and_mechanical_characterization_of,"Due to the higher elastic modulus of the secondary phase (ZrO 2 * 200 GPa; HfO 2 * 150 GPa), the crack deflects at the secondary phase-NASICON interface as can be seen in Fig. 7b) ."
10/1038_s43246_024_00569_2_stabilization_of_p2_layered_oxide,"This has already been observed for other P2-and O3-type sodium layered oxides with the same composition 31,32 ."
10/1007_s00216_023_04559_0_nifebased_prussian_blue_analogue_nanopolygons,"A novel voltammetric platform based on pencil graphite electrode (PGE) modification has been proposed, containing bimetallic (NiFe) Prussian blue analogue nanopolygons decorated with electro-polymerized glyoxal polymer nanocomposites (p-DPG NCs@NiFe PBA Ns/PGE)."
10/1039_d5cp00254k_theoretical_evaluation_of_na_sub2sub,It thus emerges as a strong SSE candidate for current and future sodium-ion battery technology.
10/3389_fchem_2018_00174_reduced_graphene_oxide_decorated_na3v2po43,"In this case, large volume change during the sodium ion insertion/extraction process leads to structure collapse of the cathode materials, causing poor rate and cycle performance."
10/1007_s40820_019_0332_7_all_binderfree_electrodes_for_highperformance,"Finally, the quasi-solid-state FARSIB was fabricated by twisting the cathode and anode together."
10/1039_d1ma00731a_insights_into_the_diverse_precursorbased,"After the over-discharge of hard carbon below 0 V, the EPR signal gets divided into Lolunsi (broad peak) and Dysonian (sharp shoulder peak) line shapes."
10/1016_j_carbon_2023_03_055_pyrolysis_temperature_dependence_of_sodium,"Hard carbons are the most investigated materials as negative electrode for Na-ion batteries, although the exact mechanism of sodium storage remains under debate."
10/1007_s12209_022_00338_7_ultrasmall_nis2_nanocrystals_embedded_in,"In this regard, the major challenge for high-performance SIHCs lies in exploring desirable sodium-ion storage anode materials to overcome the kinetics imbalance ."
10/1038_s41598_019_52006_x_natural_biomass_derived_hard_carbon,"Interestingly, the corn cob derived hard carbon also gave a maximum value of capacitance of 309.81 F/g under the same conditions."
10/1038_s43246_024_00556_7_anioncation_interactions_dictate_safe_and,Sodium-ion batteries are promising for energy storage applications because of the natural abundance and low cost of sodium resources.
10/1007_s40820_024_01546_7_sulfolanebased_flameretardant_electrolyte_for_highvoltage,"Sodium-ion batteries (SIBs) have become a promising alternative energy source for emerging energy storage devices due to the abundant content of sodium in the earth's crust (23,000 ppm sodium versus 17 ppm lithium) and low cost (e.g., the cost of Na 2 CO 3 is about 25-30 times lower than that of Li 2 CO 3 ) ."
10/1007_s40820_023_01232_0_highentropy_layered_oxide_cathode_enabling,"The Na-ion layered oxide materials, Na x TMO 2 have considerable potential as cathode materials for NIBs owing to the notable benefits including high energy density, facile production and cost-effectiveness."
10/1038_s41597_025_05799_8_dataset_exploring_the_atomic_scale,"To facilitate better sampling of Na-ion diffusion, the unit cells used in AIMD are expanded into supercells for the ML-driven MD sampling."
10/1038_s41467_023_40669_0_design_principles_for_nasicon_superionic,"In this paper, we combine first-principles calculations, experimental synthesis and testing, and natural language-driven text-mined historical data on NASICON ionic conductivity to achieve clear insights into how chemical composition influences the Na-ion conductivity."
10/1016_j_jeurceramsoc_2023_04_008_high_performance_nasicon_ceramic_electrolytes,"Equivalent cells based on the use of liquid electrolytes, where NaFePO 4 is also used as cathode, capacity values in the range of 143-146 mAh/g at C/20 have been reported ."
10/1038_s41467_022_30113_0_entropy_and_crystalfacet_modulation_of,"The discharge capacity of NaMNO 2 decreases dramatically with increasing C-rates, while all the Na 0.62 Mn 0.67 Ni 0.23 -Cu 0.05 Mg 0.09-2y Ti y O 2 shows better rate performance than NaMNO 2 ."
10/1038_s41467_023_39385_6_enabling_longcycling_aqueous_sodiumion_batteries,"PB-S1, an Mn-based Prussian blue, was obtained by the same route as NaMnF preparation."
10/5796_electrochemistry_25_00044_role_of_ductile_materials_in,"Furthermore, the interfacial resistance between the solid electrolyte and hard carbon was reduced by introduction of NaCBH, proving that NaCBH is an effective intermediate layer on the anode side for use in all-solid-state sodium-ion batteries."
10/1039_d0cc05673a_electrochemical_formation_protocols_for_maximising,"We can therefore conclude that with the increased resistance in the cell, at high rates the full capacity is not realised as the polarisation is too great to extract the Na + ions from the lower voltage plateau on the hard carbon, as the cells age this resistance increases and even when returning to lower rates the polarisation in the cell is still too large to extract all the Na + ions fully."
10/1038_s41467_020_15938_x_operando_visualisation_of_battery_chemistry,"Regardless, this study has revealed unique and new insight into the electrochemical behaviour of a sodium-ion battery, demonstrating the potential for such techniques to extract essential information required to better understand the mechanisms controlling performance and degradation in NIBs."
10/1038_s41467_025_59223_1_regulating_na_content_and_mn,"The as-prepared product was washed and filtered with deionized water, and dried at 100 °C for 10 h, to obtain the M1 sample. 1 g NaMnO 4 solution (40 wt%, Aldrich) and 2 mL acetic acid (≥99.8%, Aldrich) were added to 40 mL deionized water, and subsequently transferred into a 50 mL Teflon-lined stainless steel autoclave at 80 °C for 12 h."
10/1021_acsaem_0c01352_vacancyenhanced_oxygen_redox_reversibility_in,"As the electrochemical reaction is dominated by Mn redox in this voltage range, the smaller charge capacity is indicative of a lower content of Mn 3+ in Oxy-Na0.67Mg0.2Mn0.8O2, which agrees well with the refined unit cell volume."
10/1038_s41467_019_10551_z_tailoring_sodium_intercalation_in_graphite,"However, the power density of 3863 W kg -1 for the graphite||Na 1.5 VPO 4.8 F 0.7 full cell far excels the ~815 W kg -1 for hard carbon||Na 0.9 [Cu 0.22 -Fe 0.3 Mn 0.48 ]O 2 full cell."
10/1039_d1se01292d_on_the_environmental_competitiveness_of,"Under AP (acidication) aspects, a high contribution is obtained for the anode active material (hard carbon) of the SIB."
10/1039_d4ra04221b_microstructure_tuned_na_sub3sub_v,"Rhombohedral Na 3 V 2 (PO 4 ) 3 (NVP), is a typical sodium super ionic conductor (NASICON) type material having prominent usage as a cathode material for SIBs."
10/1038_s41467_024_47522_y_consummating_ion_desolvation_in_hard,"As shown in Fig. 1a, by simply increasing the aging time, the ICE of the Na||hard carbon half-cell using an ether electrolyte (1 M NaPF 6diglyme, G2) gradually increases."
10/1039_d2sc06831a_double_design_of_host_and,"Accordingly, its sodium-ion storage capability was evaluated through assembling Na-SeS 2 batteries (Fig. 3)."
10/1039_d4ra00762j_ytube_assisted_coprecipitation_synthesis_of,"Sodium stands out in stark contrast to lithium with its greater abundance, and sodium-ion batteries (NIBs), sharing a kinship in electrochemical mechanisms with their lithium-ion counterparts, are poised for signicant growth."
10/1039_d3ya00241a_hard_carbons_potential_anode_materials,"Technically, there are two mechanisms for K + storage in hard carbons: one by intercalation between turbine-like quasi-graphite domains, and the other by adsorption onto the surface, defects, and nano-pores of materials."
10/1039_d3ta05182j_proton_conductor_nasiconstructure_lisub1ixisubcdsubixi2subzrsub2ixi2subposub4subsub3sub_as,Theoretical and experimental studies both suggest that the high proton conductivity benefits from the unique 3D interstitial space and rapid H + /Li + exchange in the NASICON material.
10/1088_1361_6528_aac73b_superior_ionic_and_electronic_properties,"Because of the large natural abundance of Na (23000 ppm) and K (17000 ppm) in comparison to that of Li (20 ppm) in the earth's crust , Na-ion and K-ion batteries have attracted much attention."
10/1038_s41598_020_60183_3_cathode_properties_of_na3fepo4co3_prepared,"As a practical anode for aqueous NIBs, NaTi 2 (PO 4 ) 3 with a NASICON framework has been reported to be an efficient anode in 2 M Na 2 SO 4 aqueous electrolytes 17 ."
10/1039_d2ya00004k_the_role_of_specific_and,"Oxygen physi-and chemisorption were used to determine the hard carbon total specific and active surface areas, respectively, which have been correlated with irreversible capacity loss during the first charge/discharge cycle in Na-ion half-cells."
10/20517_microstructures_2023_102_nadeficient_p2type_layered_oxide_cathodes,"Although P2-type cathodes are deficient in Na content (typically ranging from 0.6 to 0.7) that requires additional Na supplement to achieve full-cell application, the intrinsically lower Na + diffusion barrier and better moisture tolerance of P2-type cathodes still make them very competitive for enabling high-performance SIBs."
10/54254_2755_2721_26_20230824_nanotechnology_based_on_anode_and,"Meanwhile, as Figure 6 (b) shows, sodium ion batteries prepared by Na2FePO4F/CNT multilayer positive electrodes showed good cyclic stability."
10/1016_j_jechem_2022_06_016_insights_into_ti_doping_for,"Among the existing sodium cathode materials, layered transition metal oxides (NaxMO2, M=transition metals) are considered as a sort of promising cathodes for SIBs especially for their low cost and high theoretical specific capacity ."
10/1039_c8ta07854h_thermal_stability_of_sn_anode,We also propose an effective strategy to limit the probability and damage of a thermal runaway event during SIB operation.
10/4028_p_n3dhjr_study_of_addition_metal_ti,"The NASICON solid-type electrolyte's high conductivity value has the potential to replace liquid-based electrolytes, lowering the risk of a battery explosion."
10/1039_d4sc04584j_potassium_escaping_balances_the_degree,"Importantly, with the aim of practical application, the full coin cell and pouch cell were constructed with prussian blue cathode, showing excellent electrochemical performance."
10/20517_energymater_2025_08_partially_graphitic_structureassisted_hard_carbon,"LF-1300C demonstrated higher crystallinity than CF-1300C owing to this graphitization and featured an interlayer spacing of approximately 0.43 nm, which facilitates sodium-ion insertion."
10/1039_c6ee01750a_structurally_stable_mgdoped_p2nasub23submnsub1ysubmgsubysubosub2sub_sodiumion,"The 5% Mg-doped phase exhibits one of the best rate performances reported to date for sodium-ion cathodes with a P2 structure, with a reversible capacity of 106 mA h g À1 at the very high discharge rate of 5000 mA g À1 ."
10/3389_fchem_2020_00241_sulfurdoped_and_bioresinderived_hard_carbonrgo,"Although these surface modification methods may improve the coulombic efficiency of hard carbon, their rate performance and cyclability are far from satisfactory."
10/1038_s41467_019_10551_z_tailoring_sodium_intercalation_in_graphite,"To estimate the standing of our graphite||Na 1.5 VPO 4.8 F 0.7 (anode||cathode) full cell, we summarized the electrochemical performance of recently reported full cell configurations in terms of sodium storage capacity, output voltage, cycle life, specific energy densities, and power densities in Fig. 4e, f and Supplementary Table 2."
10/1039_d5ta00826c_understanding_the_structure_and_mechanism,"This time scale is in agreement with previous studies on Na + hoping in NASICON via molecular dynamics simulations that determined that longrange diffusion occurs on time scales smaller than 1 ns. 54 In Fig. 5b, the jump length L extracted from the narrow Lorentzian increases with higher T up to a maximum of 3.38 Å at 490 K and then decreases slightly."
10/3389_fenrg_2020_615677_na044mno2polyimide_aqueous_naion_batteries_for,"PI anode material explored by Chen et al. for Mg-aqueous ion battery using Prussian blue cathode and Mg 2+ containing electrolyte solution showed excellent cycling performance, delivering an energy density of 40 Wh/kg. (Chen et al., 2017)."
10/1039_d3mh00982c_nanoarchitected_graphenecopper_oxide_nanoparticlesmossub2sub_ternary,This is among the highest capacity values reported in the literature and demonstrates the potential of these tri-component materials to be used as anodes in aqueous sodium-ion batteries.
10/4028_p_n3dhjr_study_of_addition_metal_ti,"The Na1+xZr2SixP3-xO12 (0≤x≤3) structure, one of the well-known NASICON kinds, has the benefit of being a stable crystal structure ."
10/1038_s41598_018_27083_z_electrochemical_properties_of_novel_fev2o4,"These agree with the trend in the cycle life tests in which after 50 cycles (FVO-CMC/SBR), it was able to retain 100 mAh•g -1 with a very high stability suggesting that FeV 2 O 4 could be viable conversion anode material for Na-ion battery."
10/1021_acsami_5b10875_carbonizedleaf_membrane_with_anisotropic_surfaces,This reduced capacity may result from difficult sodium ion and electrolyte intrusion through the dense and thick upper surface layer.
10/1039_d4eb00017j_recent_progress_and_perspectives_on,"Beyond layered materials, tunnel-type 80 and spinelstructured materials have also garnered significant interest due to their unique 3D crystallographic structures and expanded tunnels for sodium insertion/extraction."
10/1021_acsaem_3c00201_impact_of_hard_carbon_properties,"Finally, this work will contribute to the development of high-energy KIBs by providing hard carbon with suitable properties which are tuned by the synthesis conditions."
10/1016_j_nanoen_2017_11_077_structuredependent_performance_of_tio2c_as,"The results in this study shed light on designing more advanced materials for sodium-ion and other types of batteries. sulfur-doped TiO 2 enabling ultrastable and robust sodium storage, Adv."
10/7251_comen2201001m_the_novelties_in_the_development,Xiao et al. studied the changes in the structure of Na2FeMn(CN)6 cathode upon sodium intercalation.
10/1007_s43979_023_00053_9_research_progresses_in_o3type_nifemn,"Yao designed an air-stable O3-type cathode NaNi 0.45 Cu 0.05 Mn 0.4 Ti 0.1 O 2 by Cu/Ti co-substitution, in which Cu has comparable electronegativity and Ti has substantial difference in Fermi level compared to the Ni 2+ /Mn 4+ , resulting in contractions of Na layers and increasement of the valence state of Ni."
10/1021_cm504339y_ordered_and_disordered_polymorphs_of,"Furthermore, others have reported that the O3-P3 transition occurs at a composition close to Na0.67(Ni2/3Sb1/3)O2 in samples prepared at a lower temperature of 900 °C 22."
10/1021_acsami_2c15359_altering_the_alkaline_metal_ions,"In contrast, the Na-ion absorption capacity inside the electrode is shown by the low-frequency impedance (straight line). The current EIS data were evaluated by an equivalent circuit (Figure S7) consisting of a charge-transfer and SEI layer diffusion component, in order to obtain quantitative details on the kinetic factors of the electrode mechanism."
10/15625_2525_2518_16040_investigating_performance_of_fullcell_using,The low ICE of the anode is the bottleneck of high-performance SIB that demands more mass loading at the cathode and reduces the energy density of the cell.
10/1038_s41467_019_10551_z_tailoring_sodium_intercalation_in_graphite,"According to the sodium ion full cell demonstrated by Hasa et al. 25 , the output voltage was only 2.2 V due to the high potential exhibited by graphite anode (i.e., 0.77 V), which led to an unsatisfactory energy density of 60 Wh kg -1 , far from sufficient to meet the requirement for practical applications."
10/1038_s41467_023_39637_5_revealing_the_closed_pore_formation,"Meanwhile, SAXS tests of the pristine and discharged hard carbon electrodes were also employed 4,33 ."
10/2172_2003102_characterization_of_nasicon_solid_electrolytes,"Motivation: Low Temperature Molten Sodium (Na-NaI) Batteries Martha Gross Na  Na + + e -E 0 = 0 V I 3 -+ 2e - 3I -E 0 = 3.24 V 2Na + I 3 - 2Na + + 3I -E 0 cell = 3.24 V Realizing a new, low temperature molten Na battery requires new battery materials and chemistries -particularly in sodium ion conductors"
10/1038_srep35620_micronano_structure_hard_carbon_as,The good electrochemical performance indicates that this low-cost hard carbon could be a promising anode for Na-ion batteries.
10/1039_d4ta05669h_unlocking_recent_progress_in_niobium,"However, challenges include significant volume and conductivity changes, cyclability, low capacity, and hindered overall rate performance in sodium-ion batteries (SIBs)."
10/1039_d5ta00624d_mechanical_abuse_and_safety_in,A 3D nite element model of a sodium-ion pouch cell was developed in this study.
10/1039_d0ta10960f_sodium_storage_with_high_plateau,"Indeed, the carbon with the highest volume of closed pores proved as an interesting candidate for sodium anodes, reaching capacities higher than 170 mA h g À1 , with storage in closed pores contributing to around 80 mA h g À1 at a current density of C/20."
10/1039_d5ta00844a_elucidating_the_phase_transformations_and,"These ndings provide deeper insight into the nature of the solid-state calcination reaction pathways in a sodium ion layered oxide system, which can be used to inform synthesis parameter tuning and optimization of electrochemical properties."
10/54254_2755_2721_26_20230824_nanotechnology_based_on_anode_and,"Compared to lithium, sodium has a higher standard electrode potential, resulting in sodium-ion batteries' lower energy density ."
10/1038_s41598_019_52006_x_natural_biomass_derived_hard_carbon,This work is based on a simple synthesis route of biomass derived hard carbon and to exploring the possibility of using it as electrochemical supercapacitors.
10/1007_s40820_021_00742_z_postsynthetic_and_in_situ_vacancy,"Generally, three types of cathode materials have widely been investigated for SIBs: layered transition metal oxides, polyanionic compounds, and Prussian blue analogues (PBAs) ."
10/20517_energymater_2024_06_recent_advances_in_alloying_anode,"In the SIB anode, the material retained a capacity of 174.5 mAh g -1 after 1,000 cycles (CE 62%)."
10/1038_ncomms12122_array_of_nanosheets_render_ultrafast,"Our designed battery electrodes allow electron and sodium-ion transfer through the GF-SnS network without the necessity of extra binders, conductive additives or metal Cu current collectors, which are essential for exploring intrinsic sodium-storage properties of active material and increasing the energy/power densities of the full cell 5,22 ."
10/26599_jac_2023_9220738_improving_ionic_conductivity_of_vonalpentype,"To date, various metal ions, such as La 3+ , Y 3+ , Sc 3+ , Ca 2+ , magnesium ion (Mg 2+ ), Zn 2+ , and Ni 2+ , have been adopted as the heterogeneous elements in the NASICON synthesis process, and the ionic conductivities of the NASICON compounds have been improved via these approaches [27,."
10/61173_338akv73_systematic_investigation_of_environmental_impact,"Sodium batteries may provide advantages in some applications, but they won't likely replace lithium. ""Lithium-ion batteries will in all likelihood always have higher energy density than sodium-ion batteries, but you may not always need the very best."
10/26599_nr_2025_94907800_hollow_cobalt_disulfidenitrogendoped_carbon_nanoboxes,"Sodium-ion batteries (SIBs) have garnered significant interest in recent years due to the natural abundance, low cost, and environmental advantages of sodium ."
10/1039_d3sc03498d_controllable_synthesis_of_a_naenriched,"However, as for Na-ion full cells, where the Na-containing cathode is the only reserve of active sodium ions, such a considerable Na + loss dramatically reduces the overall energy density and shortens the lifespan of full cells."
10/1016_j_nanoen_2017_11_077_structuredependent_performance_of_tio2c_as,"Moreover, the discharge capacity is 242.5 mAh g -1 for TiO 2 /C HRTs at 50 mA g -1 after 150 cycles, while those for TiO 2 /C NRs and TiO 2 /C NPs are only 164.8 and 151.3 mAh g -1 , respectively (Fig. 5a), demonstrating a significantly improved sodium storage capability for TiO 2 /C HRTs."
10/1039_d3ta02291a_exploring_lowcost_high_energy_nasicon,"In the search for new electrode materials for SIB application, our proposed platform consists of three parts, i.e., ML modelprediction, DFT calculations, and experimental validation (Fig. 1a)."
10/1039_d5nr01053e_controlling_the_structural_and_sodium,Sodium metal (Sigma Aldrich) discs were applied as counter and reference electrodes.
10/20517_energymater_2024_06_recent_advances_in_alloying_anode,"The challenges facing the SIB system include Volume Variations, Voltage Hysteresis, Inadequate Mechanistic Understanding, and Unstable Solid Electrolyte Interphase, as presented in Figure 18."
10/1039_d0ta09553b_probing_the_charged_state_of,"In studies of O3-type NaNi 1/3 Fe 1/3 Mn 1/3 O 2 , it was found that both the Ni 2+/4+ and Fe 3+/4+ redox couples contribute to capacity below 4 V, however the Fe redox couple remains dominant above 4 V. 139 Despite stabilization of the Mn 4+ state during cycling, Fe migration into the Na layer remains an issue at high voltages."
10/1016_j_jeurceramsoc_2023_04_008_high_performance_nasicon_ceramic_electrolytes,"In this work, we propose a processing methodology, based on the combination of tape-casting and low temperature hot-pressing, to develop ceramic NASICON electrolytes with formula Na 3.16 Zr 1.84 Y 0.16 Si 2 PO 12 towards the attainment of solid-state sodium batteries operating at room temperature."
10/48676_unibo_amsdottorato_10734_synthesis_and_characterization_of_prussian,"In order to understand the effect of MnHCF structure and vacancies on its electrochemical performance, two MnHCF materials with different vacancies content are prepared and investigated in organic Na-ion system."
10/1021_acs_nanolett_2c04465_p2type_moisturestable_and_highvoltagetolerable_cathodes,".67O2 represents a promising cathode for Na-ion batteries, but it suffers from severe structural degradation upon storing in a humid atmosphere and cycling at high cut-off voltage."
10/54097_9y8kjb55_research_progress_on_cathode_materials,"It is of certain research significance to develop and use non-toxic and abundant elements (such as Fe, Mn and Ni) to replace V to prepare NASICON structural compounds."
10/1016_j_jeurceramsoc_2023_04_008_high_performance_nasicon_ceramic_electrolytes,"According to this expression, the activation energy (E a ) has been estimated as 0.31 eV, which is in line with sintered NASICON electrolytes obtained by other processing techniques, including hot-pressing at high temperature , screen printing + hot-pressing ."
10/1039_d4sc00734d_hard_carbon_for_sodiumion_batteries,"Impressively, the asobtained lled carbon exhibited outstanding electrochemical performances in LIB, SIB and PIB devices."
10/1038_s41467_022_30113_0_entropy_and_crystalfacet_modulation_of,Hu et al. has revealed that high-entropy O3-type NaNi 0.12 -Cu 0.12 Mg 0.12 Fe 0.15 Co 0.15 Mn 0.1 Ti 0.1 Sn 0.1 Sb 0.04 O 2 cathode could enable reversible O3-P3 phase transition and cationic redox within a narrower voltage range of 2.0-3.9 V 20 .
10/1021_acsaem_3c00640_biopolymerbased_hard_carbons_correlations_between,A linear relationship between the reversible capacity and interlayer spacing was evidenced and highlights the Na-ion insertion between graphene layers.
10/1051_bioconf_202412906029_nanoscale_structural_and_spectroscopic_characterization,Both the d002spacing and the nanoscale pores are supposed to be the key to Na storage capabilities of hard carbons.
10/1039_d2ta05971a_unveiling_a_high_capacity_multiredox,"The XRD pattern can be completely indexed with (P 1) space group with the cell parameters: a = 8.7153 Å, b = 9.0908 Å, c = 22.6495Å, a = 89.112°, b = 90.052°and g = 119.912°, similar to NASICON-Na 3 Ti 2 (PO 4 ) 3 . 58,59 In this structure, sodium ions fully and partially occupy Na(1a-d) and Na(2a-f) sites which correspond to the Na and Na sites of the R 3c structure, respectively."
10/1371_journal_pone_0311943_spherical_hard_carbongraphite_anode_for,"From the above theoretical calculation and speculation, the addition of hard carbon to graphite will effectively change the powder and void distributions."
10/1002_aenm_201702781_insights_into_the_nasupsup_storage,"Indeed, from Figure 2c and Table S1, the d-spacing values of these five samples are close to each other, further supporting that the plateau capacity of P-functionalized hard carbons is not dominant."
10/1016_j_jpowsour_2020_228417_optimization_of_the_compositions_of,The results reported here highlight the potential of compositionally and morphologically optimized NaFe 1.4 V 0.6 (PO 4 )(SO 4 ) 2 with higher particle surface areas as a cathode material for high-performance sodium-ion batteries.
10/1039_d5ta00826c_understanding_the_structure_and_mechanism,"Similarly, it has been previously observed that the unsubstituted NASICON, Na 3 Zr 2 (SiO 4 ) 2 (PO 4 ), showed a change in activation energy between low-temperature and high-temperature measurements (>400 ± 200 °C) to be 0.33 eV and 0.27 eV, respectively. 9,10,12 As mentioned, the closest EIS-derived parameter to compare to QENS is the bulk conductivity and its corresponding activation energy."
10/1039_d4sc06549b_breakage_of_the_dense_structure,"In addition, the coalderived hard carbon material obtained by direct hightemperature carbonization of bituminous coal aer impurity removal at 1300 °C for 2 hours is labeled as BHC."
10/1007_s41918_024_00215_y_recent_progress_in_sodiumion_batteries,"As an SIB anode, the heterostructure provided an excellent reversible capacity of 481.6 mAh g -1 at 0.5 A g -1 for 100 cycles (Fig. 22c), favorable rate performance (174.5 mAh g -1 at 20.0 A g -1 , Fig. 22d) and outstanding cycle stability (333.4 mAh g -1 after 2 000 cycles at 5.0 A g -1 , Fig. 22e)."
10/1007_s42823_025_00942_2_sodiuminduced_phase_shift_in_namno2,"To explore the magnetic character, we performed spinpolarized geometry optimization of the M1, M2, and O phases of NaMnO₂, and depicted the ferromagnetic (FM) and antiferromagnetic (AFM) configurations in Figure S4."
10/1039_d2ta09406a_sodiation_energetics_in_pore_size,"The pore insertion energetics dictate not only the capacity of the hard carbon, but also the termination voltage at maximum state of charge when hard carbon is used in full cells."
10/1002_aenm_202303833_review_insights_on_hard_carbon,"From a structural point of view, Stevens and Dahn described the hard carbons as a combination of pseudo-graphitic sp 2 hybridized nanodomains (2 to 3 graphene layers according to the ""house of cards"" model 284 , up to 5 layers according to other literature 46,202 ) and sp 3 hybridized amorphous regions (vacancies, Stone-Wales defects)."
10/1039_d5se00172b_chemically_prelithiatedsodiated_reduced_graphene_oxideantimony,"Additionally, one of the biggest challenges in current LIB and SIB research is developing anode materials that offer high energy density and long-term cycling stability. Graphitebased anodes are widely used in LIBs due to their excellent stability and cost-effectiveness."
10/1371_journal_pone_0311943_spherical_hard_carbongraphite_anode_for,"The hard carbon preparation does not have a crushing process like graphite, so that no nano-scale powders are introduced."
10/20517_energymater_2024_06_recent_advances_in_alloying_anode,A uniquely presented Sb 6 O 13 with a thin C coating over it has been recently demonstrated as an SIB anode .
10/1039_d4ra03529a_insights_into_structure_morphology_and,"It was previously reported that the total conductivity of NASICON material is oen governed by the grain boundary conductivity. 43 Therefore, the conductivity of our NASICON samples is signicantly affected by the synthesis conditions."
